subject,theme,level,question,choice_a,choice_b,choice_c,choice_d,correct,explanation,hint
Histoire,Chrétientés et islam (VIe-XIIIe siècles) des mondes en contact,2,Quelle ville est considérée comme la capitale de l'Empire byzantin ?,Rome,Athènes,Constantinople,Alexandrie,2,Constantinople (aujourd'hui Istanbul) est la capitale de l'Empire byzantin fondée par l'empereur Constantin en 330.,Cette ville contrôle le passage entre l'Europe et l'Asie.
Histoire,Chrétientés et islam (VIe-XIIIe siècles) des mondes en contact,2,L'Empire byzantin est le prolongement de quel ancien empire ?,L'Empire perse,L'Empire romain,L'Empire grec,L'Empire mongol,1,L'Empire byzantin est la partie orientale de l'Empire romain qui a survécu après la chute de Rome en 476.,Les Byzantins se considèrent eux-mêmes comme des Romains.
Histoire,Chrétientés et islam (VIe-XIIIe siècles) des mondes en contact,2,Quelle religion est pratiquée dans l'Empire byzantin ?,L'islam,Le judaïsme,Le christianisme orthodoxe,Le bouddhisme,2,L'Empire byzantin est chrétien mais il suit le rite orthodoxe qui se sépare de Rome lors du Grand Schisme de 1054.,L'Église de Constantinople est dirigée par le patriarche et non par le pape.
Histoire,Chrétientés et islam (VIe-XIIIe siècles) des mondes en contact,2,Quel est le titre du chef de l'Église catholique d'Occident ?,Le calife,Le patriarche,Le sultan,Le pape,3,Le pape est l'évêque de Rome et le chef de l'Église catholique d'Occident. Il réside à Rome.,C'est lui qui appelle à la première croisade en 1095.
Histoire,Chrétientés et islam (VIe-XIIIe siècles) des mondes en contact,2,En quelle année la première croisade est-elle lancée ?,1054,1095,1099,1187,1,Le pape Urbain II lance la première croisade au concile de Clermont en 1095 pour reprendre Jérusalem.,C'est à la fin du XIe siècle.
Histoire,Chrétientés et islam (VIe-XIIIe siècles) des mondes en contact,2,Quelle ville les croisés cherchent-ils à reprendre lors de la première croisade ?,Constantinople,La Mecque,Bagdad,Jérusalem,3,Les croisés cherchent à reprendre Jérusalem considérée comme ville sainte par les chrétiens.,Cette ville est aussi sainte pour les musulmans et les juifs.
Histoire,Chrétientés et islam (VIe-XIIIe siècles) des mondes en contact,2,En quelle année les croisés s'emparent-ils de Jérusalem ?,1095,1096,1099,1187,2,Les croisés prennent Jérusalem en 1099 après un long siège et fondent le royaume de Jérusalem.,C'est la fin de la première croisade.
Histoire,Chrétientés et islam (VIe-XIIIe siècles) des mondes en contact,2,Comment appelle-t-on les États fondés par les croisés en Orient ?,Les califats,Les sultanats,Les États latins d'Orient,Les empires croisés,2,Les États latins d'Orient (dont le Royaume de Jérusalem) sont fondés par les croisés après 1099.,Ces royaumes chrétiens sont entourés de voisins musulmans.
Histoire,Chrétientés et islam (VIe-XIIIe siècles) des mondes en contact,2,Quel sultan musulman reprend Jérusalem aux chrétiens en 1187 ?,Saladin,Al-Mansur,Harun al-Rashid,Moulay Ismaïl,0,Saladin (Salah ad-Din) reprend Jérusalem en 1187 après la bataille de Hattin.,Ce chef militaire est célèbre pour sa chevalerie même envers ses ennemis.
Histoire,Chrétientés et islam (VIe-XIIIe siècles) des mondes en contact,2,Quel est le résultat de la bataille de Poitiers en 732 ?,Les Arabes s'emparent de la France,Charles Martel arrête l'avancée arabe en Gaule,Les Byzantins repoussent les Arabes,Les Francs se convertissent à l'islam,1,À Poitiers en 732 Charles Martel bat les troupes arabo-berbères et stoppe ainsi l'expansion musulmane en Europe occidentale.,Charles Martel est le grand-père de Charlemagne.
Histoire,Chrétientés et islam (VIe-XIIIe siècles) des mondes en contact,2,Vers quel continent l'islam s'est-il principalement répandu au VIIe siècle ?,L'Europe,L'Asie orientale,L'Afrique subsaharienne,Le Moyen-Orient et l'Afrique du Nord,3,Dès le VIIe siècle l'islam se répand rapidement au Moyen-Orient puis en Afrique du Nord et en Espagne (Al-Andalus).,Les armées arabes partent de la péninsule Arabique.
Histoire,Chrétientés et islam (VIe-XIIIe siècles) des mondes en contact,2,Comment appelle-t-on la péninsule ibérique sous domination musulmane ?,Al-Andalus,Al-Rashid,Le Maghreb,Le califat abbasside,0,Al-Andalus désigne la partie de la péninsule ibérique (Espagne et Portugal actuels) sous domination musulmane du VIIIe au XVe siècle.,La reconquête chrétienne (Reconquista) prendra plusieurs siècles.
Histoire,Chrétientés et islam (VIe-XIIIe siècles) des mondes en contact,2,Quelle ville est la capitale culturelle du califat abbasside aux IXe-Xe siècles ?,Damas,Le Caire,Bagdad,Cordoue,2,Bagdad fondée en 762 est la capitale des califes abbassides et un grand centre culturel scientifique et commercial.,C'est là que se trouve la Maison de la Sagesse.
Histoire,Chrétientés et islam (VIe-XIIIe siècles) des mondes en contact,2,Quel bâtiment est au cœur de la mosquée et sert à appeler les fidèles à la prière ?,L'abside,Le clocher,Le minaret,La coupole,2,Le minaret est la tour de la mosquée depuis laquelle le muezzin appelle les fidèles à la prière cinq fois par jour.,C'est l'équivalent du clocher pour les chrétiens.
Histoire,Chrétientés et islam (VIe-XIIIe siècles) des mondes en contact,2,Comment s'appelle le lieu de prière des musulmans ?,La cathédrale,La synagogue,La mosquée,Le temple,2,La mosquée est le lieu de prière des musulmans. Son nom vient de l'arabe masjid qui signifie lieu de prosternation.,On s'y déchausse avant d'entrer en signe de respect.
Histoire,Chrétientés et islam (VIe-XIIIe siècles) des mondes en contact,2,Comment appelle-t-on le grand schisme de 1054 qui divise le christianisme ?,La Réforme,La séparation entre catholiques et orthodoxes,La croisade des pauvres,L'inquisition,1,En 1054 l'Église chrétienne se divise en Église catholique d'Occident (dirigée par le pape) et Église orthodoxe d'Orient (dirigée par le patriarche de Constantinople).,Cette séparation existe encore aujourd'hui.
Histoire,Chrétientés et islam (VIe-XIIIe siècles) des mondes en contact,2,Quel est le nom du pèlerinage que les chrétiens font à Jérusalem ?,Le hajj,La croisade,La via dolorosa,Le pèlerinage aux lieux saints,3,Les chrétiens se rendaient en pèlerinage à Jérusalem pour visiter les lieux liés à la vie et à la mort de Jésus.,L'accès plus difficile à Jérusalem après les conquêtes turques seldjoukides favorise l'appel aux croisades.
Histoire,Chrétientés et islam (VIe-XIIIe siècles) des mondes en contact,2,Quel est le nom du lieu de rassemblement pour la prière des musulmans le vendredi ?,La synagogue,La cathédrale,La mosquée du vendredi (grande mosquée),Le monastère,2,La grande mosquée ou mosquée du vendredi est le lieu où les musulmans se réunissent pour la prière collective du vendredi midi.,Le vendredi est le jour saint de l'islam.
Histoire,Chrétientés et islam (VIe-XIIIe siècles) des mondes en contact,2,Quel est le premier calife de l'islam après la mort de Muhammad ?,Omar,Ali,Abou Bakr,Othman,2,Abou Bakr (Abu Bakr) est le beau-père et compagnon de Muhammad. Il devient le premier calife en 632 à la mort du prophète.,Le mot calife signifie successeur en arabe.
Histoire,Chrétientés et islam (VIe-XIIIe siècles) des mondes en contact,2,Quelle direction les musulmans prennent-ils lors de la prière (la qibla) ?,Vers Médine,Vers La Mecque,Vers Jérusalem,Vers Bagdad,1,Les musulmans se tournent vers La Mecque lors de la prière : c'est la qibla. La direction est indiquée dans la mosquée par un niche appelée mihrab.,La Mecque est la ville la plus sainte de l'islam.
Histoire,Chrétientés et islam (VIe-XIIIe siècles) des mondes en contact,2,Combien de fois par jour les musulmans doivent-ils prier ?,2,3,5,7,2,La salat (prière rituelle) est l'un des cinq piliers de l'islam : les musulmans prient cinq fois par jour (aube midi après-midi coucher du soleil et nuit).,C'est le deuxième pilier de l'islam.
Histoire,Chrétientés et islam (VIe-XIIIe siècles) des mondes en contact,2,Que représente la zakat dans l'islam ?,Le pèlerinage,Le jeûne,L'aumône obligatoire,La prière quotidienne,2,La zakat est l'aumône légale : tout musulman aisé doit donner une partie de ses richesses aux plus pauvres. C'est le troisième pilier de l'islam.,Elle exprime la solidarité entre les membres de la communauté musulmane.
Histoire,Chrétientés et islam (VIe-XIIIe siècles) des mondes en contact,2,Quel édifice byzantin est l'un des plus célèbres exemples de l'architecture chrétienne d'Orient ?,Le Panthéon,La basilique Saint-Pierre,Sainte-Sophie de Constantinople,La cathédrale de Reims,2,Sainte-Sophie (Hagia Sophia) construite par Justinien au VIe siècle est le chef-d'œuvre de l'architecture byzantine avec sa grande coupole.,Après 1453 elle sera transformée en mosquée par les Ottomans.
Histoire,Chrétientés et islam (VIe-XIIIe siècles) des mondes en contact,2,Comment appelle-t-on les moines chrétiens vivant retirés du monde dans un couvent ?,Les croisés,Les chevaliers,Les moines,Les clercs,2,Les moines sont des chrétiens qui se retirent du monde pour se consacrer à la prière et au travail dans des monastères ou couvents.,Certains monastères comme Cluny deviennent de grands centres culturels.
Histoire,Chrétientés et islam (VIe-XIIIe siècles) des mondes en contact,2,En quelle année l'Espagne musulmane est-elle définitivement conquise par les chrétiens ?,1099,1187,1212,1492,3,La Reconquista s'achève en 1492 quand les rois catholiques (Ferdinand et Isabelle) prennent Grenade le dernier royaume musulman d'Espagne.,1492 est aussi l'année où Christophe Colomb découvre l'Amérique.
Histoire,Chrétientés et islam (VIe-XIIIe siècles) des mondes en contact,2,Quel est le nom du grand monument islamique de Jérusalem construit au VIIe siècle ?,La Grande Mosquée de Damas,Le Dôme du Rocher,La mosquée Al-Aqsa,Le Temple de Salomon,1,Le Dôme du Rocher (Qubbat al-Sakhra) est un des plus anciens monuments islamiques construit à Jérusalem vers 691 sur un site saint pour les musulmans.,Sa coupole dorée est reconnaissable entre toutes.
Histoire,Chrétientés et islam (VIe-XIIIe siècles) des mondes en contact,2,Comment appelle-t-on les savants musulmans qui traduisent les textes grecs au IXe siècle ?,Les croisés,Les ulémas,Les califes,Les traducteurs de la Maison de la Sagesse,3,La Maison de la Sagesse (Bayt al-Hikma) à Bagdad est un grand centre intellectuel où des savants traduisent des textes grecs et les enrichissent.,Ces traductions permettront à l'Europe de retrouver la philosophie antique.
Histoire,Chrétientés et islam (VIe-XIIIe siècles) des mondes en contact,2,Quel est le nom des marchands qui commerçaient entre le monde chrétien et le monde islamique ?,Les croisés,Les moines,Les marchands vénitiens et génois,Les pèlerins,2,Les marchands de Venise et de Gênes jouent un rôle clé dans le commerce entre l'Orient musulman et l'Occident chrétien en Méditerranée.,Ces échanges apportent des épices soieries et nouveaux produits en Europe.
Histoire,Chrétientés et islam (VIe-XIIIe siècles) des mondes en contact,2,Quelle est la langue du Coran ?,Le persan,L'hébreu,L'arabe,Le turc,2,Le Coran est écrit en arabe. Cette langue devient la langue de culture et de religion dans tout le monde islamique.,L'expansion de l'islam entraîne aussi l'expansion de la langue arabe.
Histoire,Chrétientés et islam (VIe-XIIIe siècles) des mondes en contact,2,Quel est le nom du mois pendant lequel les musulmans jeûnent ?,Muharram,Ramadan,Chaban,Safar,1,Le ramadan est le neuvième mois du calendrier islamique pendant lequel les musulmans jeûnent du lever au coucher du soleil.,C'est pendant ce mois que Muhammad aurait reçu les premières révélations.
Histoire,Chrétientés et islam (VIe-XIIIe siècles) des mondes en contact,2,Quelle est la ville la plus sainte de l'islam ?,Médine,Jérusalem,La Mecque,Bagdad,2,La Mecque est la ville la plus sainte de l'islam : c'est là qu'est né Muhammad et que se trouve la mosquée Al-Haram avec la Kaaba.,Tout musulman en capacité doit s'y rendre en pèlerinage.
Histoire,Chrétientés et islam (VIe-XIIIe siècles) des mondes en contact,2,Quelle est la deuxième ville sainte de l'islam ?,La Mecque,Médine,Jérusalem,Bagdad,1,Médine (anciennement Yathrib) est la deuxième ville sainte de l'islam : c'est là que Muhammad s'est réfugié lors de la hijra et où se trouve sa tombe.,C'est aussi la première cité de l'islam.
Histoire,Chrétientés et islam (VIe-XIIIe siècles) des mondes en contact,2,Comment appelle-t-on le représentant du pape qui dirige un diocèse ?,Le moine,L'abbé,L'évêque,Le chevalier,2,L'évêque est le chef d'un diocèse (territoire). Il représente l'autorité religieuse dans sa région et obéit au pape.,Chaque ville importante a son évêque et sa cathédrale.
Histoire,Chrétientés et islam (VIe-XIIIe siècles) des mondes en contact,2,Comment appelle-t-on les guerriers qui partent en croisade ?,Les évêques,Les croisés,Les moines,Les pèlerins,1,Les croisés sont les chevaliers et soldats chrétiens qui participent aux croisades. Ils portent une croix cousue sur leur vêtement.,Le mot croisade vient du mot latin crux qui signifie croix.
Histoire,Chrétientés et islam (VIe-XIIIe siècles) des mondes en contact,2,Quelle est la principale raison religieuse avancée pour justifier les croisades ?,Convertir les musulmans,Reprendre Jérusalem aux non-chrétiens,Détruire l'Empire byzantin,Aider le pape à s'emparer de Rome,1,Les croisades sont prêchées comme des guerres saintes pour reprendre Jérusalem considérée comme la Ville sainte du christianisme.,Le pape Urbain II lance cet appel en 1095 au concile de Clermont.
Histoire,Chrétientés et islam (VIe-XIIIe siècles) des mondes en contact,2,Comment s'appelle l'édifice religieux principal d'une ville chrétienne au Moyen Âge ?,La mosquée,La synagogue,La cathédrale,Le temple,2,La cathédrale est l'église principale d'un diocèse où réside l'évêque. Elle est le centre de la vie religieuse de la cité.,Ce mot vient du latin cathedra : le siège de l'évêque.
Histoire,Chrétientés et islam (VIe-XIIIe siècles) des mondes en contact,2,Qui est Justinien ?,Un calife musulman,Un roi des Francs,Un grand empereur byzantin du VIe siècle,Le premier pape de Rome,2,Justinien Ier est un grand empereur byzantin qui régna de 527 à 565. Il fit construire Sainte-Sophie et tenta de reconstituer l'Empire romain.,Il est connu aussi pour son code de lois le Code Justinien.
Histoire,Chrétientés et islam (VIe-XIIIe siècles) des mondes en contact,2,Quel est le symbole géométrique au cœur de l'art islamique qui décore mosquées et palais ?,Les représentations humaines,L'arabesque et les motifs géométriques,Les fresques de saints,Les mosaïques de personnages bibliques,1,L'art islamique privilégie les arabesques et les motifs géométriques ou végétaux car la représentation de la figure humaine est déconseillée.,Ces ornements décorent murs plafonds et objets avec une grande sophistication.
Histoire,Chrétientés et islam (VIe-XIIIe siècles) des mondes en contact,2,Quelle mer est au cœur des échanges entre chrétiens et musulmans au Moyen Âge ?,La mer du Nord,La mer Caspienne,La Méditerranée,L'océan Atlantique,2,La Méditerranée est la mer des échanges entre le monde chrétien d'Occident le monde byzantin et le monde islamique.,Les marchands y font circuler épices soieries et savoirs.
Histoire,Chrétientés et islam (VIe-XIIIe siècles) des mondes en contact,2,Comment appelle-t-on le responsable d'un monastère ?,Le calife,L'abbé,L'évêque,Le diacre,1,L'abbé est le supérieur d'un monastère. Il dirige la communauté de moines selon la règle adoptée (par exemple la règle de Saint Benoît).,Le mot abbé vient de l'araméen abba qui signifie père.
Histoire,Chrétientés et islam (VIe-XIIIe siècles) des mondes en contact,2,Quel est l'apport majeur des savants arabes en mathématiques transmis à l'Europe ?,Les nombres romains,Les chiffres arabes et le zéro,La trigonométrie seule,La géométrie euclidienne,1,Les savants arabes transmettent à l'Europe les chiffres dits arabes (d'origine indienne) dont le zéro révolutionnant le calcul.,Ces chiffres remplacent peu à peu les chiffres romains en Europe.
Histoire,Chrétientés et islam (VIe-XIIIe siècles) des mondes en contact,2,Quelle épice précieuse vient d'Orient et est importée en Europe via les marchands arabes ?,Le sel,Le sucre,Le poivre,La farine,2,Le poivre et d'autres épices (cannelle girofle muscade) viennent d'Asie et sont importés via les marchands arabes puis vendus très cher en Europe.,Ces échanges font la richesse des villes marchandes comme Venise.
Histoire,Chrétientés et islam (VIe-XIIIe siècles) des mondes en contact,2,Comment appelle-t-on les chrétiens qui vivent en terre d'islam ?,Les croisés,Les dhimmis,Les convertis,Les moines,1,Les dhimmis sont les non-musulmans (chrétiens et juifs) vivant sous autorité musulmane. Ils paient un impôt spécial mais peuvent pratiquer leur religion.,Ce statut protège les peuples du livre selon le Coran.
Histoire,Chrétientés et islam (VIe-XIIIe siècles) des mondes en contact,2,Quel grand médecin arabe du XIe siècle écrit un traité médical utilisé en Europe pendant des siècles ?,Al-Kindi,Al-Khwarizmi,Avicenne (Ibn Sina),Averroès,2,Avicenne (Ibn Sina 980-1037) est un médecin et philosophe dont le Canon de la médecine est le manuel médical de référence en Europe jusqu'au XVIIe siècle.,Il est aussi philosophe et a commenté Aristote.
Histoire,Chrétientés et islam (VIe-XIIIe siècles) des mondes en contact,2,Quel nom donne-t-on aux soldats de l'ordre militaire et religieux qui protègent les pèlerins en Terre sainte ?,Les hussards,Les templiers et hospitaliers,Les croisés ordinaires,Les paladins,1,Les ordres militaro-religieux comme les Templiers et les Hospitaliers sont des moines-soldats qui protègent les pèlerins et combattent en Terre sainte.,Ces ordres sont à la fois religieux et militaires.
Histoire,Chrétientés et islam (VIe-XIIIe siècles) des mondes en contact,2,Quelle est la langue liturgique (de la messe) de l'Église catholique d'Occident au Moyen Âge ?,Le grec,L'hébreu,L'arabe,Le latin,3,L'Église catholique utilise le latin comme langue de culte dans tout l'Occident chrétien au Moyen Âge.,Cette langue commune unit les différents peuples chrétiens d'Europe.
Histoire,Chrétientés et islam (VIe-XIIIe siècles) des mondes en contact,2,Quel est le nom de la conquête de la péninsule ibérique par les chrétiens qui dure du VIIIe au XVe siècle ?,La croisade,La Reconquista,La hijra,La jihad,1,La Reconquista (Reconquête) est la longue campagne des royaumes chrétiens pour reprendre la péninsule ibérique aux musulmans de 718 à 1492.,Elle se termine avec la prise de Grenade.
Histoire,Chrétientés et islam (VIe-XIIIe siècles) des mondes en contact,2,En quelle année les Arabes conquièrent-ils l'Espagne wisigothique ?,622,711,732,800,1,En 711 les troupes arabo-berbères traversent le détroit de Gibraltar et conquièrent rapidement l'essentiel de la péninsule ibérique.,Le général Tariq ibn Ziyad mène cette conquête.
Histoire,Chrétientés et islam (VIe-XIIIe siècles) des mondes en contact,2,Quel est le nom donné au monde chrétien occidental au Moyen Âge ?,L'umma,La chrétienté,Le califat,L'empire orthodoxe,1,La chrétienté désigne l'ensemble des peuples et royaumes chrétiens d'Occident unis par leur foi commune et leur obéissance à Rome.,Elle s'oppose dans les textes au monde islamique et à l'Empire byzantin orthodoxe.
Histoire,Chrétientés et islam (VIe-XIIIe siècles) des mondes en contact,2,Comment s'appelle la communauté de tous les musulmans dans le monde ?,La chrétienté,La umma,Le califat,La dawla,1,L'umma est la communauté mondiale de tous les croyants musulmans unie par la foi en Allah et le respect du Coran.,Ce concept d'unité dépasse les frontières politiques.
Histoire,Chrétientés et islam (VIe-XIIIe siècles) des mondes en contact,2,Quel est le symbole de l'islam affiché sur les drapeaux de nombreux pays musulmans ?,La croix,Le croissant et l'étoile,La colombe,Le soleil,1,Le croissant de lune et l'étoile sont les symboles les plus associés à l'islam bien qu'ils ne soient pas mentionnés dans le Coran.,Ce symbole vient de l'époque ottomane.
Histoire,Chrétientés et islam (VIe-XIIIe siècles) des mondes en contact,2,Comment appelle-t-on les textes qui rapportent les paroles et les actes de Muhammad ?,Le Coran,La Torah,Les Hadiths,La Sunna seule,2,Les Hadiths sont les recueils de paroles actes et approbations attribués à Muhammad. Avec le Coran ils forment la base du droit islamique.,Ils complètent le Coran en expliquant comment le prophète vivait.
Histoire,Chrétientés et islam (VIe-XIIIe siècles) des mondes en contact,2,Quelle est la fleur de l'architecture islamique que l'on retrouve à Cordoue ?,La Tour Eiffel,La mosquée-cathédrale de Cordoue (la Mezquita),Le Colisée,Le Louvre,1,La Mezquita de Cordoue est un chef-d'œuvre de l'architecture islamique en Espagne avec ses centaines de colonnes bicolores en marbre et brique.,Après la Reconquista une cathédrale y sera construite à l'intérieur.
Histoire,Chrétientés et islam (VIe-XIIIe siècles) des mondes en contact,2,Quel mathématicien arabe du IXe siècle donne son nom à l'algorithme ?,Avicenne,Averroès,Al-Khwarizmi,Al-Kindi,2,Al-Khwarizmi est le mathématicien arabe dont le nom latinisé (Algoritmi) a donné le mot algorithme. Il développe aussi l'algèbre.,Son traité sur l'algèbre donne aussi son nom à cette branche des mathématiques.
Histoire,Chrétientés et islam (VIe-XIIIe siècles) des mondes en contact,2,Combien de croisades ont eu lieu au total entre 1095 et 1270 ?,2,4,7,9,2,On compte généralement 7 croisades majeures entre 1095 et 1270 même si certains historiens en dénombrent davantage selon les critères.,La première et la quatrième (1204) sont les plus connues.
Histoire,Chrétientés et islam (VIe-XIIIe siècles) des mondes en contact,2,Quelle est la quatrième croisade connue pour avoir saccagé Constantinople en 1204 ?,La première croisade,La deuxième croisade,La quatrième croisade,La septième croisade,2,La quatrième croisade (1202-1204) dévie vers Constantinople et la saccage au lieu d'aller combattre les musulmans — affaiblissant l'Empire byzantin.,Cet événement choque la chrétienté car des croisés attaquent des chrétiens orthodoxes.
Histoire,Chrétientés et islam (VIe-XIIIe siècles) des mondes en contact,2,Quel saint roi de France mène la septième croisade au XIIIe siècle ?,Philippe Auguste,Charlemagne,Louis IX (Saint Louis),Richard Coeur de Lion,2,Louis IX (Saint Louis) roi de France mène la septième croisade (1248-1254) et la huitième croisade (1270) au cours de laquelle il meurt à Tunis.,Il est canonisé par l'Église catholique peu après sa mort.
Histoire,Chrétientés et islam (VIe-XIIIe siècles) des mondes en contact,2,Quel roi anglais participe à la troisième croisade et affronte Saladin ?,Philippe Auguste,Frédéric Barberousse,Louis VII,Richard Cœur de Lion,3,Richard Cœur de Lion (Richard Ier d'Angleterre) est l'un des chefs de la troisième croisade (1189-1192). Il affronte Saladin mais ne reprend pas Jérusalem.,Il négocie un accord permettant aux pèlerins chrétiens d'accéder à Jérusalem.
Histoire,Chrétientés et islam (VIe-XIIIe siècles) des mondes en contact,2,Quel est le nom de l'enseignement islamique transmis par les ulémas dans les madrasas ?,La chevalerie,La scolastique,Le fiqh (droit islamique),La rhétorique latine,2,Le fiqh est la jurisprudence islamique enseignée dans les madrasas (écoles religieuses). Les ulémas sont les savants chargés de l'interpréter.,Les madrasas sont l'équivalent des universités dans le monde islamique.
Histoire,Chrétientés et islam (VIe-XIIIe siècles) des mondes en contact,2,Quel est le nom arabe de Dieu dans l'islam ?,Yahvé,Élohim,Allah,Adonaï,2,Allah est le mot arabe pour désigner Dieu dans l'islam. Il est le même Dieu qu'Abraham que vénèrent aussi juifs et chrétiens selon l'islam.,L'islam se considère comme la religion d'Abraham dans sa forme la plus pure.
Histoire,Chrétientés et islam (VIe-XIIIe siècles) des mondes en contact,2,Quel est le statut de Jésus dans l'islam ?,Il est le Fils de Dieu,Il est un prophète mais pas le fils de Dieu,Il n'est pas mentionné dans le Coran,Il est l'égal de Muhammad,1,Dans l'islam Jésus (Issa) est reconnu comme un grand prophète mais pas comme le Fils de Dieu. Muhammad est considéré comme le dernier prophète.,Cette différence est l'une des principales distinctions entre christianisme et islam.
Histoire,Chrétientés et islam (VIe-XIIIe siècles) des mondes en contact,2,Quel calife fait construire une nouvelle capitale de l'islam à Bagdad en 762 ?,Abou Bakr,Omar,Al-Mansur,Saladin,2,Al-Mansur calife abbasside fait construire Bagdad en 762 sur les bords du Tigre. La ville devient rapidement un grand centre culturel et commercial.,Bagdad est construite en cercle parfait et surnommée la Ville ronde.
Histoire,Chrétientés et islam (VIe-XIIIe siècles) des mondes en contact,2,Comment s'appellent les combattants à cheval portant armure et code d'honneur dans l'Occident chrétien ?,Les janissaires,Les chevaliers,Les croisés ordinaires,Les seigneurs,1,Les chevaliers sont des guerriers montés à cheval qui portent une armure et sont soumis à un code d'honneur (la chevalerie).,Les croisades voient s'affronter chevaliers chrétiens et guerriers musulmans.
Histoire,Chrétientés et islam (VIe-XIIIe siècles) des mondes en contact,2,Quel événement marque la fin du califat abbasside de Bagdad en 1258 ?,La Reconquista,La quatrième croisade,La prise de Bagdad par les Mongols,La mort de Saladin,2,En 1258 les Mongols du Khan Houlagou saccagent et détruisent Bagdad mettant fin au califat abbasside. C'est la fin d'un grand âge d'or islamique.,Des centaines de milliers de personnes meurent dans le siège de Bagdad.
Histoire,Chrétientés et islam (VIe-XIIIe siècles) des mondes en contact,2,Quel est le nom de la mer intérieure que les Arabes appellent la mer des Romains ?,La mer Noire,La mer Rouge,La Méditerranée,La mer Caspienne,2,La Méditerranée est appelée Bahr al-Rum (mer des Romains) par les Arabes. Elle est au cœur des échanges entre les trois civilisations.,Contrôler ses rivages permet de contrôler le commerce international.
Histoire,Chrétientés et islam (VIe-XIIIe siècles) des mondes en contact,2,Quelle religion était pratiquée en Arabie avant l'islam ?,Le christianisme seul,Le judaïsme seul,Des religions polythéistes et quelques communautés juives et chrétiennes,Le zoroastrisme,2,Avant l'islam la péninsule Arabique était habitée par des populations pratiquant des religions polythéistes avec aussi quelques communautés juives et chrétiennes.,Muhammad grandit dans ce contexte de pluralité religieuse.
Histoire,Chrétientés et islam (VIe-XIIIe siècles) des mondes en contact,2,Quel est le nom du lieu où se réfugient les moines pour prier et vivre en communauté ?,La cathédrale,La mosquée,L'abbaye ou monastère,La croisade,2,L'abbaye ou le monastère est le lieu de vie des moines qui y prient travaillent et copient des manuscrits. Les grands monastères comme Cluny ont une grande influence.,Les moines ont conservé le savoir antique pendant le haut Moyen Âge.
